track_name,album_name,release_date,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_text
Silence,Third,2008-01-01,299586,0.419,0.825,11,-7.453,1,0.091,0.195,0.146,0.339,0.104,127.528,"Esteja alerta para as regras dos três
O que você dá, retornará para você
Essa lição, você tem que aprender
Você só ganha o que você merece


Tempted in our minds
Tormented inside lie
Wounded and afraid
Inside my head
Falling through changes

Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?

Empty in our hearts
Crying out in silence
Wandered out of reach
Too far to speak
Drifting unable

Did you know when you lost?
Did you know when I wanted?
Did you know what I lost?
Do you know what I wanted?"
Hunter,Third,2008-01-01,237413,0.523,0.408,10,-9.563,0,0.0369,0.896,0.134,0.098,0.157,134.179,"No one said
We'd ever known each other
And new evidence is what we require
In this world

I stand on the edge of a broken sky
And I'm broken down, don't know why

And if I should fall, would you hold me?
Would you pass me by?
Oh, you know I'd ask you for nothin'
Just to wait for a while

So confused
My thoughts are takin' over
Unwanted horizons place me instead
Won't let go

I stand on the edge of a broken sky
And I will come down, don't know why

And if I should fall, would you hold me?
Would you pass me by?
Oh, you know I'd ask you for nothin'
Just to wait for a while"
Nylon Smile,Third,2008-01-01,196600,0.696,0.674,7,-9.953,1,0.159,0.867,0.371,0.229,0.35,127.909,"I'd like to laugh at what you said
But I just can't find a smile
I wonder why you can't
I struggle with myself
Hoping I might change a little
Hoping that I might be someone I wanna be

Looking out, I wanna know someone might care
Looking out, I want a reason to be there
'Cause I don't know what I've done to deserve you
And I don't know what I'll do without you


Looking out, I wanna know some way might clear
Looking out, I want a reason to repair
'Cause I don't know what I've done to deserve you
And I don't know what I'll do without you

I can't see nothing good, nothing is so bad
I never had the chance to explain exactly what I meant"
The Rip,Third,2008-01-01,270946,0.471,0.484,9,-9.414,0,0.0317,0.925,0.499,0.0987,0.236,74.982,"As she walks in the room
Centered and tall
Hesitating once more
And as I take on myself
And the bitterness I felt
I realize that love flows

Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?

Through the glory of life
I will scatter on the floor
Disappointed and sore
And in my thoughts I have bled
For the riddles I've been fed
Another lie moves over

Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?


Wild, white horses
They will take me away
And the tenderness I feel
Will send the dark underneath
Will I follow?"
Plastic,Third,2008-01-01,207573,0.353,0.553,2,-8.145,1,0.0856,0.753,0.0415,0.0861,0.0652,153.656,"I wonder why
I don't know what you see
Of course I care
I won't pretend

It's just a thought
I've said enough
Don't you know life turns me?
Always wants me
I can hardly pray

I could try
But don't know what you hear
'Cause in my heart
You were so clear

It's just a thought
I've said enough
Don't you know life turns me?
Always wants me
I can hardly pray

On your stage
A show that you create
All by yourself
I am nowhere
You never noticed
You were so sure

Don't you know life turns me?
Always wants me
I can hardly pray"
We Carry On,Third,2008-01-01,387786,0.56,0.913,3,-5.234,1,0.0353,0.502,0.582,0.295,0.414,126.996,"The taste of life, I can't describe
It's choking up my mind
I'm reaching out, I can't believe
The faith, it can't decide

On and on, I carry on
But underneath my mind
And on and on, I tell myself
It's this I can't disguise

Oh, can't you see?
Holding on to my heart, I plead
The taste of life

The pace of the time, I can't survive
It's grinding down the view
I'm breaking out, which way to choose?
A choice I can't renew

On and on, I carry on
But underneath my mind
And on and on, I tell myself
It's this I can't disguise

Oh, can't you see?
Holding on to my heart, I plead
No place is safe, can't you see?
The taste of life"
Deep Water,Third,2008-01-01,90880,0.709,0.0741,6,-16.567,1,0.0349,0.987,0.0251,0.122,0.383,91.311,"I'm driftin' in deep waters
Alone with my self-doubtin' again
I try not to struggle this time
For I will weather the storm

I gotta remember (
Gotta remember
)
Don't fight it (
Don't fight it
)
Even if I (
Even if I
)
Don't like it (
Don't like it
)
Somehow turn me around (
Somehow turn me around
)

No matter how far I drift
Deep waters (
Deep waters
)
Won't scare me tonight"
Machine Gun,Third,2008-01-01,283440,0.565,0.575,11,-6.116,1,0.0409,0.015,0.00225,0.106,0.0601,105.12,"I saw a savior, a savior come my way
I thought I'd see it at the cold light of day
But now I realize that I'm only for me

If only I could see you turn myself to me
And recognize the poison in my heart
There is no other place, no one else I face
No remedy will agree with how I feel

Here in my reflecting, what more can I say?
For I am guilty for the voice that I obey
Too scared to sacrifice a choice chosen for me

If only I could see you turn myself to me
And recognize the poison in my heart
There is no other place, no one else I face
No remedy to agree with how I feel"
Small,Third,2008-01-01,405733,0.284,0.336,0,-7.333,1,0.0375,0.0604,0.25,0.163,0.0377,136.557,"If I remember the night that we met
Tasted a wine that I'll never forget
Opened the doorway and saw through the light
Motions of movement and I felt delight

She spoke of freedom, ""A way in,"" she said
""A wisdom that took me away from the bed""
Spoke of the glory that we had become
I felt forgiven in all I've become

Small, tasteless, and flawed
Hoping to see, blinded like me
You tried to understand, but you're just a man
Open to scorn just like me
Failure again
Tried to pretend
Who you were then
Who you are now
Hating the lord
Hating the lord
Hating the lord
Hating the lord


Small, tasteless, and flawed
Hoping to see, blinded like me
You tried to understand, but you're just a man
Open to scorn just like me
Failure again
Tried to pretend
Who you were then
Who you are now
Hating the lord
Hating the lord
Hating the lord
Hating the lord"
Magic Doors,Third,2008-01-01,211933,0.592,0.792,2,-6.105,0,0.0554,0.111,0.684,0.0927,0.546,100.184,"I can't deny what I've become
I'm just emotionally undone
I can't deny, I can't be someone else
When I have tried to find the words
To describe this sense absurd
Try to resist my thoughts, but I can't lie

I'm only losin' myself
My desire I can't hide
No reason I'm alive for

I can't divide or hide from me
I don't know who I'm meant to be
I guess it's just the person that I am
Often I've dreamt that I don't wake
Enjoy the gift of my mistake
But yet again, I'm wrong and I confess

I'm only losin' myself
My desire I can't hide
No reason I'm alive for

I'm only losin' myself
My desire I can't hide
No reason I'm alive for"
